"Имя","E-mail","Номер телефона","Записан на","К специалисту","Цвет краски"
"Вася","2222@gfgdsaf","234231","16:20","Jessie Pn",#5484ed
asdas,apsd@dsfds.cvc,22222111,16:15,Jessie Pinkman,#5484ed
11111,apsd@dsfds.cvc,22222111,2342,Jessie Pinkman,#51b749
11111,apsd@dsfds.cvc,22222111,2342,Jessie Pinkman,#51b749
11111,apsd@dsfds.cvc,22222111,2342,Jessie Pinkman,#51b749
11111,apsd@dsfds.cvc,22222111,2342,Jessie Pinkman,#51b749
11111,apsd@dsfds.cvc,22222111,2342,Jessie Pinkman,#51b749
,,,,Walter White,#7bd148
asd,apsd@dsfds.cvc,234,33333,Walter White,#7bd148
123,apsd@dsfds.cvc,234,16:15,Walter White,#7bd148
asd,2222@gfg.com,22222111,33333,Gus Fring,#dc2127
asd,2222@gfg.com,22222111,33333,Gus Fring,#dc2127
